Age,Age_sq,GP,MP,PTS_per_GP,TRB_per_GP,AST_per_GP,STL_per_GP,BLK_per_GP,TRB_per_min,AST_per_min,STL_per_min,BLK_per_min,FG%,3P%,FT%,USG%,BPM,VORP,AST_to_TOV,STL_BLK_sum,Toxic_Contract,Position_Clean,Experience_Category
23,8.626338696268764,78,24.1,0.10128205128205128,0.09615384615384616,0.030769230769230767,0.014102564102564105,0.003846153846153846,0.3112033195020747,0.0995850622406639,0.04564315352697096,0.012448132780082987,0.548,0.322,0.691,13.6,1.1,1.5,2.0,1.4000000000000001,0,PF,Prime
36,101.26270233263241,63,30.5,0.15555555555555556,0.09841269841269841,0.047619047619047616,0.007936507936507936,0.015873015873015872,0.20327868852459016,0.09836065573770492,0.01639344262295082,0.03278688524590164,0.476,0.446,0.714,11.9,3.3,2.5,5.0,1.5,0,C,Veteran
29,9.381583451513524,42,8.3,0.07380952380952381,0.04523809523809524,0.004761904761904762,0.002380952380952381,0.007142857142857143,0.22891566265060237,0.024096385542168672,0.012048192771084336,0.03614457831325301,0.618,0.625,0.789,13.7,-2.9,-0.1,0.6666666666666667,0.4,0,C,Veteran
27,1.1298351997652707,68,30.2,0.23970588235294119,0.09705882352941175,0.04411764705882353,0.011764705882352941,0.011764705882352941,0.2185430463576159,0.09933774834437087,0.026490066225165566,0.026490066225165566,0.564,0.347,0.608,21.1,2.1,2.1,2.142857142857143,1.6,0,PF,Prime
19,48.122842192772254,28,14.6,0.1392857142857143,0.1285714285714286,0.03214285714285715,0.014285714285714287,0.024999999999999998,0.24657534246575344,0.06164383561643836,0.027397260273972605,0.04794520547945205,0.535,0.0,0.72,11.3,-4.6,-0.3,1.8,1.1,0,PF,Rookie
28,4.255709325639398,63,32.1,0.4936507936507937,0.1873015873015873,0.09047619047619047,0.012698412698412698,0.012698412698412698,0.367601246105919,0.17757009345794392,0.024922118380062305,0.024922118380062305,0.553,0.275,0.645,38.8,8.5,5.4,1.4615384615384617,1.6,0,PF,Prime
25,0.8780869480170171,7,10.0,0.42857142857142855,0.34285714285714286,0.1285714285714286,0.04285714285714286,0.09999999999999999,0.24,0.09,0.03,0.06999999999999999,0.241,0.133,1.0,22.9,-7.2,-0.1,0.9,1.0,0,SG,Prime
25,0.8780869480170171,67,35.6,0.25074626865671645,0.07462686567164178,0.029850746268656716,0.02835820895522388,0.01044776119402985,0.14044943820224717,0.056179775280898875,0.05337078651685393,0.019662921348314606,0.476,0.387,0.838,19.5,0.4,1.5,1.0,2.5999999999999996,0,SF,Prime
26,0.003961073891143875,82,23.9,0.08536585365853659,0.11341463414634147,0.03048780487804878,0.007317073170731707,0.007317073170731707,0.38912133891213396,0.10460251046025106,0.02510460251046025,0.02510460251046025,0.63,0.0,0.606,10.6,2.1,2.0,5.0,1.2,0,C,Prime
22,15.500464570394637,59,20.5,0.13389830508474576,0.03559322033898305,0.01864406779661017,0.005084745762711864,0.005084745762711864,0.10243902439024391,0.05365853658536586,0.014634146341463414,0.014634146341463414,0.427,0.355,0.812,15.8,-3.0,-0.3,1.5714285714285716,0.6,0,SG,Rookie
